pg	count	azm_R	azm_r	azm_Rr	azm_S	azm_s	azm_Ss	cfm_R	cfm_r	cfm_Rr	cfm_S	cfm_s	cfm_Ss	cip_R	cip_r	cip_Rr	cip_S	cip_s	cip_Ss	cro_R	cro_r	cro_Rr	cro_S	cro_s	cro_Ss
1	65	4	0	4	61	0	61	0	0	0	53	12	65	64	0	64	1	0	1	1	0	1	64	0	64
2	75	15	0	15	60	0	60	4	0	4	70	1	71	12	0	12	63	0	63	3	0	3	72	0	72
3	86	46	0	46	40	0	40	0	0	0	79	7	86	1	0	1	85	0	85	0	0	0	86	0	86
4	124	81	0	81	43	0	43	30	2	32	83	9	92	1	0	1	123	0	123	0	0	0	124	0	124
5	166	18	0	18	148	0	148	1	1	2	144	20	164	166	0	166	0	0	0	2	0	2	164	0	164
6	285	12	0	12	273	0	273	229	0	229	52	4	56	285	0	285	0	0	0	61	0	61	224	0	224
7	98	59	0	59	39	0	39	0	0	0	98	0	98	2	0	2	96	0	96	0	0	0	98	0	98
8	79	17	0	17	62	0	62	2	0	2	74	3	77	14	0	14	65	0	65	2	0	2	77	0	77
9	26	0	0	0	26	0	26	0	0	0	26	0	26	25	0	25	1	0	1	0	0	0	26	0	26
10	11	5	0	5	6	0	6	0	0	0	10	1	11	0	0	0	11	0	11	0	0	0	11	0	11
11	42	27	0	27	15	0	15	0	0	0	41	1	42	1	0	1	41	0	41	0	0	0	42	0	42
12	23	7	0	7	16	0	16	0	0	0	22	1	23	1	0	1	22	0	22	0	0	0	23	0	23
13	22	3	0	3	19	0	19	0	0	0	22	0	22	22	0	22	0	0	0	0	0	0	22	0	22
sum	1102	294	0	294	808	0	808	266	3	269	774	59	833	594	0	594	508	0	508	69	0	69	1033	0	1033
